UserId,Session,ContentIndex,FocusScalingFactor,ContextScalingFactor,Score
607,1,3,1,0.4,0.4448892
607,1,1,1,0.6,0.4163771
607,1,1,1,0.8,0.3642409
607,1,3,1,0.4,0.4904203
607,1,4,1,1,0.3274461
607,1,1,1,0.6,0.306307
607,1,1,0.8,0.6,0.3477311
607,1,3,0.8,0.4,0.6023033
607,1,4,0.8,0.4,0.6494598
607,1,2,0.8,0.6,0.500674
607,1,1,1,0.4,0.7775157
607,1,1,0.6,0.4,0.8568055
607,1,3,0.8,0.4,0.7615715
607,1,2,0.8,0.4,0.4990878
607,1,1,0.6,0.2,0.4273573
607,1,4,1,0.8,0.6247495
607,1,3,0.8,0.2,0.4032271
607,1,3,1,0.8,0.4983254
607,1,5,1,0.4,0.6469666
607,1,5,1,1,0.7503493
607,1,2,0.6,0.2,0.379852
607,1,2,0.8,0.2,0.288643
607,1,4,0.8,0.6,0.6387929
607,1,2,1,1,0.4473394
607,1,4,1,0.2,0.5846994
607,1,1,1,0.2,0.4814911
607,1,5,1,0.8,0.5615715
607,1,5,0.8,0.4,0.6292374
607,1,5,1,0.2,0.3059747
607,1,4,0.6,0.4,0.6164992
607,1,1,1,0.4,0.6895553
607,1,4,1,0.4,0.7867175
607,1,4,0.6,0.2,0.5990744
607,1,2,0.6,0.4,0.5302225
607,1,2,1,0.4,0.5899382
607,1,3,0.6,0.4,0.7066082
607,1,3,1,1,0.5603021
607,1,3,0.8,0.6,0.4977546
608,1,5,0.8,0.2,0.3288056
608,1,4,1,0.4,0.7571531
608,1,4,0.8,0.4,0.8894989
608,1,2,1,0.8,0.9468738
608,1,5,1,0.8,0.5160342
608,1,3,0.8,0.4,0.8869353
608,1,1,1,0.2,0.7726819
608,1,4,1,1,0.618019
608,1,4,1,0.6,0.7709233
608,1,4,0.8,0.6,0.7709233
608,1,3,1,1,0.8876392
608,1,1,1,0.4,0.7327086
608,1,3,0.6,0.4,0.9191775
608,1,3,1,0.2,0.9853562
608,1,1,1,1,0.747905
608,1,1,0.8,0.6,0.4472374
608,1,2,1,0.4,0.4929198
608,1,2,1,1,0.5723013
608,1,2,0.6,0.4,0.5396913
608,1,2,1,0.2,0.01174472
608,1,2,0.8,0.6,0.2361031
608,1,2,1,0.6,0.3568286
608,1,4,0.8,0.2,0.2415937
608,1,3,1,0.8,0.3988219
608,1,4,0.6,0.2,0.1326683
608,1,5,0.8,0.6,0.4767521
608,1,4,1,0.8,0.4767521
608,1,1,0.6,0.4,0.4767521
608,1,5,1,0.2,0.1896133
608,1,2,0.8,0.2,0.05763999
608,1,2,1,0.8,0.3724076
608,1,4,1,0.2,0.2343825
608,1,3,0.8,0.6,0.5932172
608,1,1,1,0.8,0.7155922
608,1,5,1,1,0.7815725
608,1,5,0.6,0.2,0.1175194
608,1,1,0.8,0.4,0.5038629
608,1,2,1,0.8,0.5992538
608,1,5,0.8,0.4,0.5074511
608,1,3,1,0.6,0.8578109
608,1,5,1,0.6,0.7697735
608,1,4,0.6,0.4,0.7697735
608,1,1,0.8,0.2,0.507266
608,1,5,1,0.4,0.507266
608,1,2,0.8,0.4,0.507266
608,1,1,0.6,0.2,0.227576
608,1,5,0.6,0.4,0.3282124
608,1,2,1,0.6,0.7598899
608,1,1,0.8,0.6,0.7598899
608,1,3,0.8,0.2,0.8893097
608,1,1,1,0.6,0.8639417
608,1,2,0.6,0.2,0.2188152
608,1,1,1,0.4,0.4935322
608,1,3,0.6,0.2,0.3676238
608,1,3,1,0.4,0.4904363
609,1,2,1,0.2,0.3003702
609,1,4,1,0.2,0.2447781
609,1,3,0.8,0.6,0.5069664
609,1,4,0.8,0.4,0.593057
609,1,5,1,0.8,0.5617289
609,1,1,1,1,0.717432
609,1,3,1,1,0.628153
609,1,5,1,0.4,0.3759874
609,1,4,0.6,0.2,0.2956304
609,1,2,1,1,0.7590282
609,1,4,1,0.4,0.5041317
609,1,4,1,0.6,0.6053282
609,1,2,0.8,0.4,0.6574894
609,1,2,0.8,0.6,0.4460955
609,1,2,1,0.8,0.8537119
609,1,1,1,0.6,0.8509642
609,1,4,1,1,0.8166825
609,1,4,0.6,0.4,0.547312
609,1,2,1,0.6,0.4987292
609,1,1,0.8,0.6,0.4323494
609,1,4,1,0.2,0.2655824
609,1,2,0.8,0.2,0.1428072
609,1,1,0.6,0.2,0.08609736
609,1,2,1,0.4,0.1745157
609,1,2,0.6,0.4,0.4002055
609,1,3,0.6,0.2,0.1282849
609,1,4,0.8,0.4,0.347166
609,1,1,1,0.6,0.4126479
609,1,4,0.8,0.6,0.4763989
609,1,5,0.6,0.4,0.4006771
609,1,3,1,0.6,0.4118545
609,1,2,0.6,0.2,0.02039299
609,1,3,0.6,0.4,0.3187067
609,1,3,0.8,0.2,0.07252994
609,1,1,0.8,0.4,0.4979349
609,1,4,0.8,0.2,0.1595767
609,1,1,1,0.2,0.216354
609,1,5,0.8,0.2,0.0906475
609,1,3,1,0.8,0.746438
609,1,5,0.8,0.6,0.5333583
609,1,3,1,0.4,0.3339582
609,1,3,1,0.2,0.04868412
609,1,5,1,0.2,0.04377673
609,1,5,1,1,0.7307284
609,1,1,0.8,0.2,0.1379862
609,1,2,0.8,0.6,0.7774678
609,1,1,0.8,0.6,0.7627128
609,1,5,1,0.6,0.8129484
609,1,1,1,0.4,0.5178518
609,1,5,0.6,0.2,0.1948562
609,1,5,0.8,0.4,0.4418351
609,1,1,1,0.8,0.5841629
609,1,4,1,0.8,0.6804214
609,1,1,0.6,0.4,0.2836661
609,1,3,0.8,0.4,0.6218632
610,1,2,1,0.4,0.334247
610,1,3,0.6,0.2,0.2116564
610,1,2,0.6,0.2,0.2643999
610,1,2,0.8,0.6,0.6524938
610,1,2,0.8,0.4,0.7886249
610,1,1,0.6,0.4,0.8623899
610,1,5,0.8,0.2,0.3109291
610,1,4,0.6,0.2,0.3271419
610,1,4,1,0.4,0.6781405
610,1,2,1,1,0.8738779
610,1,4,0.8,0.6,0.6863208
610,1,3,0.8,0.6,0.1734042
610,1,1,1,0.4,0.7270039
610,1,5,1,0.4,0.8417355
610,1,3,1,0.8,0.564492
610,1,1,1,0.6,0.893068
610,1,4,0.8,0.2,0.3237912
610,1,5,1,0.6,0.7490947
610,1,1,1,0.8,0.6959011
610,1,1,1,1,0.8382153
610,1,5,1,0.8,0.9266181
610,1,3,0.8,0.4,0.5583016
610,1,2,1,0.6,0.3944499
610,1,5,1,0.2,0.08634674
610,1,1,0.6,0.2,0.07125958
610,1,4,0.8,0.4,0.6098174
610,1,1,0.8,0.2,0.07431257
610,1,2,0.8,0.6,0.3884201
610,1,3,1,0.2,0.09085282
610,1,3,1,0.6,0.6529949
610,1,2,0.8,0.2,0.0719741
610,1,3,0.8,0.2,0.0719741
610,1,3,0.6,0.4,0.3040906
610,1,5,0.8,0.6,0.9034331
610,1,3,1,1,0.6644212
610,1,3,1,0.6,0.688285
610,1,1,0.8,0.6,0.7705854
